date,Filename,frequency,amount,vgender,vhonor,emo_sim,bvtextsim,bvemosim,livetype,timeslot,bgender,numberviewers,numberlikes,wordcount,danmu_num
0908_11-14,0908_05_09,7,7,0,8.105263158,0.348487449,0.590205646,0.83420345,1,0,0,1576,0,157,11
0908_11-14,0908_07_02,112,403,0.836291913,9.862781955,0.30056537,0.494122058,0.6901166,0,0,1,1150.666667,322,889,605
0908_11-14,0908_07_03,62,278,0.825717322,8.038894575,0.387444563,0.413553655,0.7785947,0,0,1,1016.333333,320,803,627
0908_11-14,0908_07_04,61,70,0.867073171,8.220259128,0.350196035,0.484748542,0.75154674,0,0,1,958,309,898,475
0908_11-14,0908_07_05,35,37,0.904953146,8.481132075,0.258369382,0.425184608,0.86368555,0,0,1,998.3333333,271,876,541
0908_11-14,0908_07_06,77,170,0.860465116,7.716504854,0.238268783,0.39621371,0.6969564,0,0,1,1014.666667,298,919,618
0908_11-14,0908_07_07,59,96,0.841450777,7.707366297,0.498288514,0.465847075,0.6848229,0,0,1,967,297,901,635
0908_11-14,0908_07_08,66,97,0.826719577,8.443478261,0.401172002,0.386949122,0.6656381,0,0,1,935.6666667,314,874,435
0908_11-14,0908_07_09,85,205,0.86545925,8.494545455,0.411341188,0.377557248,0.6236402,0,0,1,862.6666667,320,790,418
0908_11-14,0908_07_10,52,190,0.838356164,7.114321608,0.495922977,0.469656616,0.7943784,0,0,1,761.3333333,341,761,433
0908_11-14,0908_07_13,38,40,0.921532847,7.018456376,0.407595917,0.266965598,0.8358231,0,0,1,590.3333333,296,865,265
0908_11-14,0908_07_14,8,8,0.873638344,8.387234043,0.321202616,0.38698858,0.6251272,0,0,1,536.3333333,262,931,200
0908_11-14,0908_07_15,8,8,0.945619335,9.376443418,0.466891369,0.448738813,0.69782156,0,0,1,512,264,789,155
0908_11-14,0908_07_16,27,72,0.888888889,8.931764706,0.383478018,0.493193388,0.41969872,0,0,1,497.3333333,277,863,120
0908_11-14,0908_07_17,24,24,0.935064935,6.925581395,0.433106448,0.408891171,0.64853984,0,0,1,449,273,794,131
0908_11-14,0908_07_18,19,19,0.855737705,7.688622754,0.386178031,0.328148097,0.52430695,0,0,1,425,202,849,117
0908_11-14,0908_07_19,32,59,0.908396947,7.994987469,0.489142667,0.346794337,0.6187871,0,0,1,395.6666667,295,890,145
